GeneID,BaseMean,log2(FC),StdErr,WaldStats,Pval,AdjP
Tmem184b,508.9556071,-4.961926502,0.179609109,-27.62625202,5.38E-168,8.80E-164
Trpv1,1779.462312,1.125666961,0.087313272,12.89227787,4.98E-38,4.06E-34
Irx1,77.06337324,-2.683491314,0.228294433,-11.75451929,6.69E-32,3.65E-28
Prox1,586.2849979,-1.077147913,0.094420368,-11.4080037,3.81E-30,1.56E-26
Zfp429,27.92960367,-3.015934248,0.264874394,-11.38628086,4.89E-30,1.60E-26
Hist1h1d,53.65360804,-2.025428135,0.197452553,-10.25779662,1.09E-24,2.97E-21
Iqcm,37.85874622,2.744591363,0.271063388,10.12527506,4.27E-24,9.96E-21
Acsbg1,844.8432978,1.559194839,0.155660584,10.01663237,1.29E-23,2.63E-20
Cd59a,529.1410539,0.837732503,0.086858924,9.644748764,5.17E-22,9.39E-19
Abca8a,1697.574761,1.736176421,0.18955747,9.159103166,5.23E-20,8.55E-17
S100b,380.1740772,1.648382941,0.182533515,9.030576892,1.71E-19,2.54E-16
St18,386.8198207,-1.41487321,0.160147704,-8.83480169,1.00E-18,1.37E-15
Cemip,1696.667571,1.466301112,0.166433582,8.810127728,1.25E-18,1.57E-15
Prdm8,1691.008689,0.716086653,0.081546319,8.781348566,1.62E-18,1.88E-15
Neurog1,159.6404023,-2.071588538,0.241325373,-8.58421357,9.15E-18,9.96E-15
Wwc1,441.0968521,-0.910807054,0.106646565,-8.540425597,1.34E-17,1.37E-14
6430628N08Rik,172.6863915,1.540030939,0.181301105,8.494327383,1.99E-17,1.91E-14
Grm7,343.6946109,1.768638268,0.209413853,8.445660321,3.02E-17,2.60E-14
Rhbdl3,265.7637437,-1.816825661,0.21501717,-8.449677124,2.92E-17,2.60E-14
Fosb,29551.80707,1.710722061,0.202839124,8.433886074,3.34E-17,2.73E-14
Mal,449.3789441,1.581186373,0.189876704,8.327437447,8.26E-17,6.43E-14
Ldb2,1309.559875,1.048087702,0.126056049,8.314457809,9.22E-17,6.84E-14
Grm2,120.9828944,-2.054346032,0.252006995,-8.1519405,3.58E-16,2.54E-13
Hist1h2bc,1077.893203,-0.832154979,0.102154506,-8.146042783,3.76E-16,2.56E-13
Stum,351.4077549,0.854671463,0.105331421,8.114116931,4.89E-16,3.20E-13
Ccn1,9512.256808,1.392485193,0.174064838,7.999807483,1.25E-15,7.83E-13
Tmem72,199.8183648,1.847158325,0.231366026,7.983705975,1.42E-15,8.59E-13
Zcchc12,580.1723893,1.215010406,0.152702548,7.956713384,1.77E-15,1.03E-12
Mrgprx1,44.85456375,2.197574381,0.280055022,7.84693796,4.26E-15,2.40E-12
Map7,1551.284253,1.229045098,0.16041513,7.661653248,1.84E-14,1.00E-11
Tmem151a,815.4608419,1.50049064,0.196093902,7.651898511,1.98E-14,1.04E-11
Cxcl1,170.6399642,1.819502314,0.238170561,7.639492915,2.18E-14,1.11E-11
Neurod4,131.6249793,-2.042231461,0.268562917,-7.604294319,2.86E-14,1.42E-11
Scn11a,358.3289053,1.865536374,0.246252432,7.575707406,3.57E-14,1.69E-11
Tmem176b,3003.46425,0.496480629,0.065551105,7.573947544,3.62E-14,1.69E-11
Col28a1,3031.313915,1.299251011,0.171666812,7.568446102,3.78E-14,1.71E-11
Phf21b,475.1321139,-1.482402786,0.196073913,-7.560428433,4.02E-14,1.77E-11
Fubp1,4048.065985,-0.432645816,0.057320988,-7.547773133,4.43E-14,1.90E-11
