GeneID,BaseMean,log2(FC),StdErr,WaldStats,Pval,AdjP
Serpine2,3675.660698,7.516399717,0.191047476,39.34309878,0,0
Mmp2,1674.777737,6.435290921,0.203608297,31.60623132,3.03E-219,2.64E-215
Sulf2,1788.016045,3.505596001,0.115370294,30.38560338,8.51E-203,4.94E-199
Psrc1,549.0834053,6.803065783,0.232399966,29.27309285,2.28E-188,9.94E-185
Eda2r,651.6707077,6.923035195,0.240139976,28.82916583,9.25E-183,3.22E-179
Col5a2,1551.235318,3.924703442,0.144491623,27.16215203,1.82E-162,5.28E-159
Spp1,1708.08956,5.148825994,0.19944141,25.81623336,5.83E-147,1.45E-143
Postn,2387.576149,6.824399325,0.270652399,25.2146271,2.77E-140,6.03E-137
Slc9a9,3641.368515,-2.088774001,0.084209071,-24.80462003,7.99E-136,1.55E-132
Prss23,1340.869874,7.045295447,0.294861176,23.89360154,3.57E-126,6.21E-123
Col5a1,1116.501192,5.468283053,0.231707843,23.59990484,3.86E-123,6.11E-120
Sparc,7113.017566,7.130273974,0.304241198,23.43625394,1.83E-121,2.65E-118
Plp1,924.0029087,5.858917864,0.251039911,23.33859125,1.80E-120,2.41E-117
Tnfrsf10b,1098.948486,3.747314796,0.161299243,23.23206688,2.16E-119,2.69E-116
Mfge8,733.2212119,5.469834706,0.235496078,23.22686112,2.44E-119,2.83E-116
Col4a1,4620.633822,5.8667179,0.257556121,22.77840607,7.51E-115,8.17E-112
Gask1b,570.960226,7.20533811,0.321938439,22.38110533,6.01E-111,6.16E-108
Plekhb1,273.9252787,5.049660798,0.226792589,22.26554589,7.97E-110,7.71E-107
Serpinh1,1737.991364,5.466775738,0.246922917,22.13960456,1.31E-108,1.20E-105
Kirrel,424.7563406,6.704517127,0.304148669,22.04355239,1.10E-107,9.59E-105
Icam1,314.8024519,6.205172411,0.281647929,22.03166355,1.43E-107,1.19E-104
Gpm6b,469.6452799,4.395228451,0.201622079,21.79934104,2.35E-105,1.86E-102
Cryab,557.8999973,6.437482415,0.299207912,21.51508083,1.12E-102,8.51E-100
Lamb1,1933.385404,3.309374351,0.154061472,21.48086932,2.35E-102,1.71E-99
Col4a2,3073.592211,4.098159626,0.191071184,21.44833948,4.73E-102,3.30E-99
Lama2,332.2159164,5.841352007,0.272979707,21.39848446,1.38E-101,9.24E-99
Hpgd,431.987219,6.495384982,0.305286855,21.27633363,1.88E-100,1.21E-97
St14,368.895798,7.519378396,0.353672091,21.2608758,2.61E-100,1.63E-97
Cald1,2035.723642,5.341265425,0.251914171,21.20271915,9.01E-100,5.41E-97
Adamts5,573.7221028,6.043447862,0.291421336,20.73783598,1.58E-95,9.16E-93
Stx2,4023.366068,-1.640709738,0.079396138,-20.66485579,7.18E-95,4.03E-92
Id3,397.4789288,5.69035121,0.276679161,20.5666057,5.47E-94,2.97E-91
Nsdhl,1237.2907,-2.175579241,0.10586853,-20.54981997,7.72E-94,4.08E-91
Tns3,305.7751194,3.797001902,0.186572907,20.3513038,4.52E-92,2.31E-89
Ccn1,722.0712078,6.757102022,0.334962701,20.17269985,1.70E-90,8.46E-88
Akr1b8,847.2958921,3.170579666,0.157515597,20.12867122,4.14E-90,2.00E-87
Sox10,283.4503019,7.232438381,0.362993157,19.92444828,2.50E-88,1.18E-85
Slc12a4,1093.608012,3.861729905,0.193838582,19.92240075,2.60E-88,1.19E-85
Areg,166.0099077,4.508409992,0.226381252,19.91512084,3.01E-88,1.34E-85
Phlda3,4130.935668,2.836633838,0.142457224,19.91217968,3.19E-88,1.39E-85
Ppic,329.6988873,6.201965143,0.313031112,19.81261578,2.32E-87,9.84E-85
Smad3,213.7534185,4.001746637,0.202197569,19.79126982,3.54E-87,1.47E-84
Lama5,211.6846232,5.461147316,0.275968544,19.78902099,3.70E-87,1.50E-84
Afap1l2,230.3684675,6.164590382,0.315635615,19.53071862,6.02E-85,2.38E-82
Fas,230.1291924,5.064955281,0.260480796,19.44463993,3.24E-84,1.25E-81
Tm7sf2,2238.226557,-2.303712792,0.118925374,-19.3710788,1.35E-83,5.12E-81
Lhfpl1,773.9399608,5.00454949,0.258528526,19.35782315,1.75E-83,6.49E-81
Tgm2,311.283581,5.697756079,0.294599811,19.3406644,2.44E-83,8.86E-81
Piezo1,534.9583877,5.128978188,0.267007883,19.20908898,3.11E-82,1.10E-79
Nes,624.7151454,5.923007516,0.308836301,19.17846928,5.60E-82,1.95E-79
Prrg4,254.1478422,6.072893774,0.319106279,19.03094416,9.45E-81,3.23E-78
Sgpp2,1138.262278,-2.666046847,0.140213841,-19.01414892,1.30E-80,4.36E-78
Ptpn14,266.0454056,5.294227449,0.278525727,19.00803745,1.46E-80,4.81E-78
Gtse1,332.4472737,2.570299046,0.135582307,18.95748123,3.83E-80,1.23E-77
Pmepa1,786.5440392,3.097883617,0.164168628,18.87013157,2.01E-79,6.36E-77
Frmd6,193.3481571,5.283065115,0.282228661,18.71909501,3.46E-78,1.08E-75
Sp6,459.605427,2.757184791,0.149060859,18.4970408,2.18E-76,6.66E-74
Tap1,463.7918151,4.011860864,0.216917507,18.49486896,2.27E-76,6.82E-74
Tnfaip2,313.4155755,7.587296643,0.41326014,18.35961399,2.77E-75,8.16E-73
Vgll3,229.424336,4.584319471,0.25026164,18.31810687,5.93E-75,1.72E-72
Ddit4l,139.4449441,5.148397464,0.282206202,18.24338878,2.34E-74,6.66E-72
1700007K13Rik,247.9217718,3.822081596,0.209796006,18.21808561,3.71E-74,1.04E-71
Anxa1,1724.445012,8.155810286,0.449705815,18.13587911,1.66E-73,4.59E-71
Cmtm3,178.6149881,4.995498183,0.275691783,18.11986606,2.22E-73,6.04E-71
Axl,336.4751709,6.683856437,0.369460797,18.09084075,3.76E-73,1.01E-70
Ramp3,163.5043636,3.672555338,0.203554664,18.04210855,9.10E-73,2.40E-70
Tgfbr2,159.4020769,5.326627769,0.295428454,18.03017851,1.13E-72,2.93E-70
Rbp1,849.2185955,5.633407216,0.313003562,17.99790132,2.02E-72,5.18E-70
Megf10,175.7742319,6.514315983,0.36241897,17.97454471,3.08E-72,7.78E-70
Pmaip1,1499.600292,5.157969019,0.287223377,17.95804041,4.15E-72,1.03E-69
Fblim1,202.4384288,4.113185105,0.229177623,17.94758603,5.01E-72,1.23E-69
Ly6e,786.5622143,1.765740306,0.09894653,17.84539895,3.14E-71,7.59E-69
Ece2,863.0874277,-1.746448608,0.097959977,-17.82818524,4.27E-71,1.02E-68
Col28a1,514.3865573,5.831992416,0.327216657,17.82303036,4.68E-71,1.10E-68
Heyl,221.7775,6.185601915,0.347320767,17.809479,5.97E-71,1.38E-68
Rhod,114.0594914,4.257551715,0.242407312,17.56362745,4.68E-69,1.07E-66
Pdlim1,568.1904264,2.996453674,0.170888544,17.53454969,7.81E-69,1.77E-66
Ccnd1,923.3647433,4.849219446,0.276890835,17.51310926,1.14E-68,2.54E-66
Cnn2,576.0804837,5.667077117,0.323736569,17.5052115,1.31E-68,2.88E-66
Mapkapk3,212.2867568,4.416151457,0.253893256,17.39373284,9.20E-68,2.00E-65
Tent5a,507.2878342,3.204860263,0.185115596,17.31275125,3.77E-67,8.10E-65
Hspg2,1980.767676,6.98023828,0.406340629,17.17829274,3.86E-66,8.20E-64
Nxph4,118.2148676,3.89381591,0.227377718,17.12487902,9.68E-66,2.03E-63
Lgals3,164.902906,3.23584671,0.18898255,17.12246299,1.01E-65,2.09E-63
Itga4,197.5423241,2.769292297,0.161776666,17.11799583,1.09E-65,2.23E-63
Dcxr,804.104575,3.189084844,0.18712131,17.04287364,3.95E-65,7.99E-63
Sdc1,277.6157684,3.337835134,0.196299086,17.0038241,7.69E-65,1.54E-62
Ppp1r14a,128.5364884,4.275187006,0.251809735,16.97784645,1.20E-64,2.37E-62
Sema3b,290.8889413,3.589306702,0.21239441,16.89925221,4.56E-64,8.91E-62
Arhgdib,163.1163702,4.957937324,0.294059904,16.86029701,8.81E-64,1.71E-61
Lrrfip1,1009.704072,1.687138886,0.100076381,16.85851209,9.08E-64,1.74E-61
Cdh19,169.4137128,7.096369463,0.423000551,16.7762653,3.64E-63,6.89E-61
Lif,115.5900066,6.151673221,0.367515491,16.73854129,6.86E-63,1.29E-60
