




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of prolactin secretion (GO:1902721)	1	1	.02	+	59.99	1.67E-02	4.78E-01
negative regulation of erythrocyte aggregation (GO:0034119)	1	1	.02	+	59.99	1.67E-02	4.78E-01
symbiont-mediated suppression of host apoptosis (GO:0033668)	1	1	.02	+	59.99	1.67E-02	4.77E-01
chemokine receptor transport within lipid bilayer (GO:0033606)	1	1	.02	+	59.99	1.67E-02	4.76E-01
adenosine biosynthetic process (GO:0046086)	1	1	.02	+	59.99	1.67E-02	4.75E-01
negative regulation of axon guidance (GO:1902668)	1	1	.02	+	59.99	1.67E-02	4.74E-01
negative regulation of T cell homeostatic proliferation (GO:0046014)	1	1	.02	+	59.99	1.67E-02	4.73E-01
midbrain-hindbrain boundary initiation (GO:0021547)	1	1	.02	+	59.99	1.67E-02	4.72E-01
prechordal plate formation (GO:0021501)	1	1	.02	+	59.99	1.67E-02	4.71E-01
positive regulation of N-terminal peptidyl-lysine acetylation (GO:2000761)	1	1	.02	+	59.99	1.67E-02	4.71E-01
regulation of N-terminal peptidyl-lysine acetylation (GO:2000759)	1	1	.02	+	59.99	1.67E-02	4.70E-01
negative regulation of retinal cone cell fate commitment (GO:0060226)	1	1	.02	+	59.99	1.67E-02	4.69E-01
retinal rod cell fate commitment (GO:0060223)	1	1	.02	+	59.99	1.67E-02	4.68E-01
regulation of retinal cone cell fate commitment (GO:0060222)	1	1	.02	+	59.99	1.67E-02	4.67E-01
polyphosphate catabolic process (GO:0006798)	1	1	.02	+	59.99	1.67E-02	4.66E-01
polyphosphate metabolic process (GO:0006797)	1	1	.02	+	59.99	1.67E-02	4.65E-01
positive regulation of angiotensin-activated signaling pathway (GO:0110063)	1	1	.02	+	59.99	1.67E-02	4.65E-01
response to cyclophosphamide (GO:1902518)	1	1	.02	+	59.99	1.67E-02	4.64E-01
transitional two stage B cell differentiation (GO:0002334)	1	1	.02	+	59.99	1.67E-02	4.63E-01
negative regulation of transforming growth factor beta3 production (GO:0032913)	1	1	.02	+	59.99	1.67E-02	4.62E-01
positive regulation of cellular glucuronidation (GO:2001031)	1	1	.02	+	59.99	1.67E-02	4.61E-01
positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress (GO:1902220)	1	1	.02	+	59.99	1.67E-02	4.60E-01
small intestine smooth muscle contraction (GO:1990770)	1	1	.02	+	59.99	1.67E-02	4.60E-01
negative regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:1902163)	1	1	.02	+	59.99	1.67E-02	4.59E-01
chemokine receptor transport out of membrane raft (GO:0032600)	1	1	.02	+	59.99	1.67E-02	4.58E-01
protein transport out of membrane raft (GO:0032599)	1	1	.02	+	59.99	1.67E-02	4.57E-01
B cell receptor transport into membrane raft (GO:0032597)	1	1	.02	+	59.99	1.67E-02	4.56E-01
B cell receptor transport within lipid bilayer (GO:0032595)	1	1	.02	+	59.99	1.67E-02	4.55E-01
symbiont-mediated suppression of host programmed cell death (GO:0052041)	1	1	.02	+	59.99	1.67E-02	4.55E-01
positive regulation of protein homooligomerization (GO:0032464)	1	1	.02	+	59.99	1.67E-02	4.54E-01
post-embryonic body morphogenesis (GO:0040032)	1	1	.02	+	59.99	1.67E-02	4.53E-01
regulation of excitatory synapse pruning (GO:1905810)	1	1	.02	+	59.99	1.67E-02	4.52E-01
negative regulation of retinal ganglion cell axon guidance (GO:0090260)	1	1	.02	+	59.99	1.67E-02	4.51E-01
negative regulation of lipid kinase activity (GO:0090219)	1	1	.02	+	59.99	1.67E-02	4.51E-01
induction of negative chemotaxis (GO:0050929)	1	1	.02	+	59.99	1.67E-02	4.50E-01
positive regulation of negative chemotaxis (GO:0050924)	1	1	.02	+	59.99	1.67E-02	4.49E-01
proprioception involved in equilibrioception (GO:0051355)	1	1	.02	+	59.99	1.67E-02	4.48E-01
positive regulation of intracellular transport of viral material (GO:1901254)	1	1	.02	+	59.99	1.67E-02	4.48E-01
detection of cold stimulus involved in thermoception (GO:0120169)	1	1	.02	+	59.99	1.67E-02	4.47E-01
cell-cell signaling via exosome (GO:0099156)	1	1	.02	+	59.99	1.67E-02	4.46E-01
synaptic transmission, serotonergic (GO:0099153)	1	1	.02	+	59.99	1.67E-02	4.45E-01
negative regulation of clathrin coat assembly (GO:1905444)	1	1	.02	+	59.99	1.67E-02	4.44E-01
negative regulation of retrograde trans-synaptic signaling by neuropeptide (GO:1905433)	1	1	.02	+	59.99	1.67E-02	4.44E-01
regulation of retrograde trans-synaptic signaling by neuropeptide (GO:1905432)	1	1	.02	+	59.99	1.67E-02	4.43E-01
positive regulation of dense core granule exocytosis (GO:1905415)	1	1	.02	+	59.99	1.67E-02	4.42E-01
negative regulation of dense core granule exocytosis (GO:1905414)	1	1	.02	+	59.99	1.67E-02	4.41E-01
large intestinal transit (GO:0120056)	1	1	.02	+	59.99	1.67E-02	4.41E-01
intestinal motility (GO:0120054)	1	1	.02	+	59.99	1.67E-02	4.40E-01
negative regulation of natural killer cell degranulation (GO:0043322)	1	1	.02	+	59.99	1.67E-02	4.39E-01
negative regulation of shelterin complex assembly (GO:1904791)	1	1	.02	+	59.99	1.67E-02	4.38E-01
negative regulation of short-term neuronal synaptic plasticity (GO:0048174)	1	1	.02	+	59.99	1.67E-02	4.38E-01
positive regulation of granulosa cell apoptotic process (GO:1904710)	1	1	.02	+	59.99	1.67E-02	4.37E-01
negative regulation of synaptic vesicle endocytosis (GO:1900243)	1	1	.02	+	59.99	1.67E-02	4.36E-01
menarche (GO:0042696)	1	1	.02	+	59.99	1.67E-02	4.35E-01
vesicle fusion with vesicle (GO:0061782)	1	1	.02	+	59.99	1.67E-02	4.35E-01
sensory perception of cold stimulus (GO:0062035)	1	1	.02	+	59.99	1.67E-02	4.34E-01
positive regulation of transcription by transcription factor localization (GO:0061586)	1	1	.02	+	59.99	1.67E-02	4.33E-01
colon epithelial cell migration (GO:0061580)	1	1	.02	+	59.99	1.67E-02	4.32E-01
actin filament bundle retrograde transport (GO:0061573)	1	1	.02	+	59.99	1.67E-02	4.32E-01
regulation of postsynaptic dense core vesicle exocytosis (GO:0150044)	1	1	.02	+	59.99	1.67E-02	4.31E-01
postsynaptic dense core vesicle exocytosis (GO:0150038)	1	1	.02	+	59.99	1.67E-02	4.30E-01
negative regulation of transformation of host cell by virus (GO:1904188)	1	1	.02	+	59.99	1.67E-02	4.30E-01
positive regulation of T cell homeostatic proliferation (GO:0042103)	1	1	.02	+	59.99	1.67E-02	4.29E-01
positive regulation of mitotic recombination (GO:0045951)	1	1	.02	+	59.99	1.67E-02	4.28E-01
endoplasmic reticulum polarization (GO:0061163)	1	1	.02	+	59.99	1.67E-02	4.27E-01
alveolar primary septum development (GO:0061143)	1	1	.02	+	59.99	1.67E-02	4.27E-01
corticospinal neuron axon guidance through spinal cord (GO:0021972)	1	1	.02	+	59.99	1.67E-02	4.26E-01
actin filament bundle distribution (GO:0070650)	3	2	.05	+	39.99	8.22E-04	6.96E-02
positive regulation of cardiac muscle hypertrophy in response to stress (GO:1903244)	2	1	.03	+	29.99	3.31E-02	6.52E-01
glycerol-3-phosphate catabolic process (GO:0046168)	2	1	.03	+	29.99	3.31E-02	6.51E-01
positive regulation of growth factor dependent skeletal muscle satellite cell proliferation (GO:1902728)	2	1	.03	+	29.99	3.31E-02	6.50E-01
positive regulation of skeletal muscle satellite cell proliferation (GO:1902724)	2	1	.03	+	29.99	3.31E-02	6.49E-01
regulation of erythrocyte aggregation (GO:0034118)	2	1	.03	+	29.99	3.31E-02	6.48E-01
negative regulation of erythrocyte clearance (GO:0034107)	2	1	.03	+	29.99	3.31E-02	6.47E-01
regulation of erythrocyte clearance (GO:0034106)	2	1	.03	+	29.99	3.31E-02	6.47E-01
fourth ventricle development (GO:0021592)	2	1	.03	+	29.99	3.31E-02	6.46E-01
symbiont-mediated killing of host cell (GO:0001907)	2	1	.03	+	29.99	3.31E-02	6.45E-01
positive regulation of respiratory burst involved in inflammatory response (GO:0060265)	2	1	.03	+	29.99	3.31E-02	6.44E-01
positive regulation of anterior head development (GO:2000744)	2	1	.03	+	29.99	3.31E-02	6.43E-01
regulation of anterior head development (GO:2000742)	2	1	.03	+	29.99	3.31E-02	6.43E-01
camera-type eye photoreceptor cell fate commitment (GO:0060220)	2	1	.03	+	29.99	3.31E-02	6.42E-01
positive regulation of dense core granule biogenesis (GO:2000707)	2	1	.03	+	29.99	3.31E-02	6.41E-01
regulation of cellular glucuronidation (GO:2001029)	2	1	.03	+	29.99	3.31E-02	6.40E-01
negative regulation of phospholipase C/protein kinase C signal transduction (GO:0160195)	2	1	.03	+	29.99	3.31E-02	6.39E-01
T cell homeostatic proliferation (GO:0001777)	2	1	.03	+	29.99	3.31E-02	6.39E-01
positive regulation of T-helper 2 cell activation (GO:2000570)	2	1	.03	+	29.99	3.31E-02	6.38E-01
regulation of T-helper 2 cell activation (GO:2000569)	2	1	.03	+	29.99	3.31E-02	6.37E-01
oncostatin-M-mediated signaling pathway (GO:0038165)	4	2	.07	+	29.99	1.63E-03	1.07E-01
response to chloroquine (GO:1902349)	2	1	.03	+	29.99	3.31E-02	6.36E-01
sensory perception of itch (GO:0160025)	2	1	.03	+	29.99	3.31E-02	6.35E-01
symbiont-mediated activation of host apoptosis (GO:0052151)	2	1	.03	+	29.99	3.31E-02	6.35E-01
symbiont-mediated perturbation of host apoptosis (GO:0052150)	2	1	.03	+	29.99	3.31E-02	6.34E-01
cellular response to carbon dioxide (GO:0071244)	2	1	.03	+	29.99	3.31E-02	6.33E-01
