




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
mitochondrial DNA-directed RNA polymerase complex (GO:0034245)	1	1	.02	+	59.99	1.67E-02	2.94E-01
Shc-EGFR complex (GO:0070435)	1	1	.02	+	59.99	1.67E-02	2.92E-01
myosin V complex (GO:0031475)	1	1	.02	+	59.99	1.67E-02	2.89E-01
macrophage migration inhibitory factor receptor complex (GO:0035692)	2	1	.03	+	29.99	3.31E-02	4.78E-01
COPI-coated Golgi to ER transport vesicle (GO:0030142)	2	1	.03	+	29.99	3.31E-02	4.74E-01
SUMO activating enzyme complex (GO:0031510)	2	1	.03	+	29.99	3.31E-02	4.71E-01
C-fiber (GO:0044299)	4	2	.07	+	29.99	1.63E-03	5.69E-02
oncostatin-M receptor complex (GO:0005900)	2	1	.03	+	29.99	3.31E-02	4.68E-01
alphav-beta3 integrin-PKCalpha complex (GO:0035866)	2	1	.03	+	29.99	3.31E-02	4.64E-01
G protein-coupled GABA receptor complex (GO:1902712)	2	1	.03	+	29.99	3.31E-02	4.61E-01
endothelial microparticle (GO:0072563)	2	1	.03	+	29.99	3.31E-02	4.58E-01
BAD-BCL-2 complex (GO:0097138)	2	1	.03	+	29.99	3.31E-02	4.55E-01
mossy fiber rosette (GO:0097471)	2	1	.03	+	29.99	3.31E-02	4.52E-01
extrinsic component of presynaptic active zone membrane (GO:0098891)	3	1	.05	+	20.00	4.92E-02	6.29E-01
DSIF complex (GO:0032044)	3	1	.05	+	20.00	4.92E-02	6.25E-01
glutamatergic postsynaptic density (GO:0099573)	3	1	.05	+	20.00	4.92E-02	6.21E-01
DNA ligase IV complex (GO:0032807)	3	1	.05	+	20.00	4.92E-02	6.17E-01
alveolar lamellar body membrane (GO:0097233)	3	1	.05	+	20.00	4.92E-02	6.13E-01
myosin II filament (GO:0097513)	3	1	.05	+	20.00	4.92E-02	6.09E-01
Golgi cis cisterna membrane (GO:1990674)	3	1	.05	+	20.00	4.92E-02	6.05E-01
neuronal dense core vesicle membrane (GO:0099012)	6	2	.10	+	20.00	3.98E-03	1.07E-01
G protein-coupled receptor heterodimeric complex (GO:0038039)	3	1	.05	+	20.00	4.92E-02	6.02E-01
kinesin II complex (GO:0016939)	3	1	.05	+	20.00	4.92E-02	5.98E-01
tenascin complex (GO:0090733)	3	1	.05	+	20.00	4.92E-02	5.94E-01
glial limiting end-foot (GO:0097451)	3	1	.05	+	20.00	4.92E-02	5.91E-01
CAK-ERCC2 complex (GO:0070516)	4	1	.07	+	15.00	6.50E-02	7.16E-01
senescence-associated heterochromatin focus (GO:0035985)	4	1	.07	+	15.00	6.50E-02	7.13E-01
growth cone filopodium (GO:1990812)	4	1	.07	+	15.00	6.50E-02	7.09E-01
calpain complex (GO:0110158)	4	1	.07	+	15.00	6.50E-02	7.05E-01
Gtr1-Gtr2 GTPase complex (GO:1990131)	4	1	.07	+	15.00	6.50E-02	7.01E-01
inward rectifying potassium channel (GO:0008282)	4	1	.07	+	15.00	6.50E-02	6.97E-01
postsynaptic intermediate filament cytoskeleton (GO:0099160)	4	1	.07	+	15.00	6.50E-02	6.93E-01
dendritic filopodium (GO:1902737)	4	1	.07	+	15.00	6.50E-02	6.90E-01
insulin receptor complex (GO:0005899)	4	1	.07	+	15.00	6.50E-02	6.86E-01
lamellar body membrane (GO:0097232)	4	1	.07	+	15.00	6.50E-02	6.83E-01
phosphopyruvate hydratase complex (GO:0000015)	4	1	.07	+	15.00	6.50E-02	6.79E-01
extracellular matrix of synaptic cleft (GO:0098965)	4	1	.07	+	15.00	6.50E-02	6.75E-01
outer dynein arm (GO:0036157)	12	3	.20	+	15.00	9.04E-04	3.68E-02
junctional sarcoplasmic reticulum membrane (GO:0014701)	4	1	.07	+	15.00	6.50E-02	6.72E-01
spine apparatus (GO:0097444)	9	2	.15	+	13.33	9.23E-03	1.98E-01
elastic fiber (GO:0071953)	5	1	.08	+	12.00	8.06E-02	7.96E-01
cell body fiber (GO:0070852)	10	2	.17	+	12.00	1.14E-02	2.32E-01
calcium- and calmodulin-dependent protein kinase complex (GO:0005954)	5	1	.08	+	12.00	8.06E-02	7.92E-01
MMXD complex (GO:0071817)	5	1	.08	+	12.00	8.06E-02	7.88E-01
proximal neuron projection (GO:1990769)	5	1	.08	+	12.00	8.06E-02	7.84E-01
transcription export complex 2 (GO:0070390)	5	1	.08	+	12.00	8.06E-02	7.80E-01
terminal web (GO:1990357)	5	1	.08	+	12.00	8.06E-02	7.77E-01
dense core granule membrane (GO:0032127)	10	2	.17	+	12.00	1.14E-02	2.30E-01
GID complex (GO:0034657)	5	1	.08	+	12.00	8.06E-02	7.73E-01
GTPase complex (GO:1905360)	41	8	.68	+	11.71	3.26E-07	3.10E-05
dopaminergic synapse (GO:0098691)	22	4	.37	+	10.91	4.38E-04	2.13E-02
heterotrimeric G-protein complex (GO:0005834)	35	6	.58	+	10.28	2.22E-05	1.58E-03
kainate selective glutamate receptor complex (GO:0032983)	6	1	.10	+	10.00	9.60E-02	8.78E-01
DNA-dependent protein kinase-DNA ligase 4 complex (GO:0005958)	6	1	.10	+	10.00	9.60E-02	8.74E-01
radial spoke head (GO:0001535)	6	1	.10	+	10.00	9.60E-02	8.70E-01
ooplasm (GO:1990917)	6	1	.10	+	10.00	9.60E-02	8.66E-01
annulate lamellae (GO:0005642)	7	1	.12	+	8.57	1.11E-01	9.58E-01
unconventional myosin complex (GO:0016461)	7	1	.12	+	8.57	1.11E-01	9.54E-01
CORVET complex (GO:0033263)	7	1	.12	+	8.57	1.11E-01	9.50E-01
G protein-coupled receptor dimeric complex (GO:0038037)	7	1	.12	+	8.57	1.11E-01	9.46E-01
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	51	7	.85	+	8.23	2.08E-05	1.60E-03
guanyl-nucleotide exchange factor complex (GO:0032045)	23	3	.38	+	7.82	6.35E-03	1.49E-01
nonhomologous end joining complex (GO:0070419)	8	1	.13	+	7.50	1.26E-01	1.00E00
voltage-gated sodium channel complex (GO:0001518)	16	2	.27	+	7.50	2.85E-02	4.37E-01
centriolar subdistal appendage (GO:0120103)	8	1	.13	+	7.50	1.26E-01	1.00E00
cortical endoplasmic reticulum (GO:0032541)	8	1	.13	+	7.50	1.26E-01	1.00E00
dynactin complex (GO:0005869)	8	1	.13	+	7.50	1.26E-01	1.00E00
clathrin complex (GO:0071439)	8	1	.13	+	7.50	1.26E-01	1.00E00
prespliceosome (GO:0071010)	17	2	.28	+	7.06	3.20E-02	4.83E-01
U2-type prespliceosome (GO:0071004)	17	2	.28	+	7.06	3.20E-02	4.79E-01
dendritic spine neck (GO:0044326)	9	1	.15	+	6.67	1.40E-01	1.00E00
presynaptic endosome (GO:0098830)	9	1	.15	+	6.67	1.40E-01	1.00E00
axon hillock (GO:0043203)	9	1	.15	+	6.67	1.40E-01	1.00E00
growth cone membrane (GO:0032584)	9	1	.15	+	6.67	1.40E-01	1.00E00
NLS-dependent protein nuclear import complex (GO:0042564)	9	1	.15	+	6.67	1.40E-01	1.00E00
multivesicular body membrane (GO:0032585)	27	3	.45	+	6.67	9.99E-03	2.10E-01
sodium channel complex (GO:0034706)	27	3	.45	+	6.67	9.99E-03	2.07E-01
axonemal dynein complex (GO:0005858)	27	3	.45	+	6.67	9.99E-03	2.05E-01
hippocampal mossy fiber to CA3 synapse (GO:0098686)	67	7	1.12	+	6.27	1.24E-04	6.89E-03
endoplasmic reticulum tubular network (GO:0071782)	30	3	.50	+	6.00	1.34E-02	2.47E-01
caspase complex (GO:0008303)	10	1	.17	+	6.00	1.55E-01	1.00E00
neuronal ribonucleoprotein granule (GO:0071598)	10	1	.17	+	6.00	1.55E-01	1.00E00
Golgi trans cisterna (GO:0000138)	10	1	.17	+	6.00	1.55E-01	1.00E00
transcription factor TFIIH core complex (GO:0000439)	10	1	.17	+	6.00	1.55E-01	1.00E00
cone photoreceptor outer segment (GO:0120199)	10	1	.17	+	6.00	1.55E-01	1.00E00
extrinsic component of postsynaptic density membrane (GO:0099147)	10	1	.17	+	6.00	1.55E-01	1.00E00
blood microparticle (GO:0072562)	10	1	.17	+	6.00	1.55E-01	1.00E00
perineuronal net (GO:0072534)	10	1	.17	+	6.00	1.55E-01	1.00E00
alveolar lamellar body (GO:0097208)	10	1	.17	+	6.00	1.55E-01	1.00E00
neuronal dense core vesicle (GO:0098992)	40	4	.67	+	6.00	4.32E-03	1.13E-01
SMN complex (GO:0032797)	10	1	.17	+	6.00	1.55E-01	1.00E00
filopodium tip (GO:0032433)	20	2	.33	+	6.00	4.32E-02	5.67E-01
tetraspanin-enriched microdomain (GO:0097197)	10	1	.17	+	6.00	1.55E-01	1.00E00
flotillin complex (GO:0016600)	10	1	.17	+	6.00	1.55E-01	1.00E00
Bcl-2 family protein complex (GO:0097136)	10	1	.17	+	6.00	1.55E-01	1.00E00
intercellular canaliculus (GO:0046581)	10	1	.17	+	6.00	1.55E-01	1.00E00
presynaptic active zone membrane (GO:0048787)	75	7	1.25	+	5.60	2.53E-04	1.33E-02
Schaffer collateral - CA1 synapse (GO:0098685)	151	14	2.52	+	5.56	2.50E-07	2.63E-05
nucleotide-activated protein kinase complex (GO:0031588)	11	1	.18	+	5.45	1.69E-01	1.00E00
slit diaphragm (GO:0036057)	11	1	.18	+	5.45	1.69E-01	1.00E00
filtration diaphragm (GO:0036056)	11	1	.18	+	5.45	1.69E-01	1.00E00
G protein-coupled receptor complex (GO:0097648)	11	1	.18	+	5.45	1.69E-01	1.00E00
