




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
gamma-catenin-TCF7L2 complex (GO:0071665)	1	1	.06	+	15.48	6.46E-02	3.68E-01
PCNA-p21 complex (GO:0070557)	2	2	.13	+	15.48	4.17E-03	4.70E-02
synaptic vesicle lumen (GO:0034592)	1	1	.06	+	15.48	6.46E-02	3.67E-01
inhibin B complex (GO:0043513)	1	1	.06	+	15.48	6.46E-02	3.66E-01
nucleoplasmic periphery of the nuclear pore complex (GO:1990826)	2	2	.13	+	15.48	4.17E-03	4.67E-02
dolichyl-phosphate-mannose-protein mannosyltransferase complex (GO:0031502)	1	1	.06	+	15.48	6.46E-02	3.65E-01
glomerular endothelium fenestra (GO:0036053)	1	1	.06	+	15.48	6.46E-02	3.64E-01
VEGF-A complex (GO:1990150)	1	1	.06	+	15.48	6.46E-02	3.63E-01
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex (GO:0009330)	1	1	.06	+	15.48	6.46E-02	3.62E-01
recycling endosome lumen (GO:0034777)	1	1	.06	+	15.48	6.46E-02	3.61E-01
cytosolic aryl hydrocarbon receptor complex (GO:0034752)	1	1	.06	+	15.48	6.46E-02	3.60E-01
postsynaptic specialization membrane of symmetric synapse (GO:0099164)	1	1	.06	+	15.48	6.46E-02	3.59E-01
serotonin-activated cation-selective channel complex (GO:1904602)	2	2	.13	+	15.48	4.17E-03	4.65E-02
catalase complex (GO:0062151)	1	1	.06	+	15.48	6.46E-02	3.58E-01
synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex (GO:0070032)	4	4	.26	+	15.48	1.74E-05	4.12E-04
TRAPPI protein complex (GO:1990070)	1	1	.06	+	15.48	6.46E-02	3.57E-01
serotonin receptor complex (GO:0098665)	2	2	.13	+	15.48	4.17E-03	4.62E-02
basal proximal dendrite (GO:0150017)	1	1	.06	+	15.48	6.46E-02	3.56E-01
pinceau fiber (GO:1990031)	1	1	.06	+	15.48	6.46E-02	3.55E-01
glucose transporter complex (GO:1990350)	1	1	.06	+	15.48	6.46E-02	3.54E-01
DNA polymerase processivity factor complex (GO:0044796)	1	1	.06	+	15.48	6.46E-02	3.53E-01
chylomicron remnant (GO:0034360)	1	1	.06	+	15.48	6.46E-02	3.52E-01
platelet dense tubular network membrane (GO:0031095)	2	2	.13	+	15.48	4.17E-03	4.60E-02
PCNA complex (GO:0043626)	1	1	.06	+	15.48	6.46E-02	3.51E-01
BAX complex (GO:0097144)	1	1	.06	+	15.48	6.46E-02	3.50E-01
cyclin D1-CDK4 complex (GO:0097128)	2	2	.13	+	15.48	4.17E-03	4.57E-02
cyclin A2-CDK1 complex (GO:0097122)	2	2	.13	+	15.48	4.17E-03	4.55E-02
calcium- and calmodulin-dependent protein kinase complex (GO:0005954)	5	4	.32	+	12.38	8.24E-05	1.69E-03
catenin-TCF7L2 complex (GO:0071664)	4	3	.26	+	11.61	1.03E-03	1.51E-02
synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex (GO:0070033)	4	3	.26	+	11.61	1.03E-03	1.50E-02
ciliary pocket membrane (GO:0020018)	3	2	.19	+	10.32	1.20E-02	1.04E-01
ciliary pocket (GO:0020016)	3	2	.19	+	10.32	1.20E-02	1.04E-01
laminin-3 complex (GO:0005608)	3	2	.19	+	10.32	1.20E-02	1.03E-01
6-phosphofructokinase complex (GO:0005945)	3	2	.19	+	10.32	1.20E-02	1.03E-01
beta-catenin-TCF7L2 complex (GO:0070369)	3	2	.19	+	10.32	1.20E-02	1.03E-01
inhibin-betaglycan-ActRII complex (GO:0034673)	3	2	.19	+	10.32	1.20E-02	1.02E-01
neuronal dense core vesicle membrane (GO:0099012)	6	4	.39	+	10.32	2.34E-04	4.49E-03
elastic fiber (GO:0071953)	5	3	.32	+	9.29	2.44E-03	3.08E-02
collagen type IX trimer (GO:0005594)	5	3	.32	+	9.29	2.44E-03	3.06E-02
synaptobrevin 2-SNAP-25-syntaxin-1a complex (GO:0070044)	5	3	.32	+	9.29	2.44E-03	3.04E-02
ankyrin-1 complex (GO:0170014)	7	4	.45	+	8.84	5.19E-04	8.84E-03
spectrin-associated cytoskeleton (GO:0014731)	7	4	.45	+	8.84	5.19E-04	8.77E-03
CMG complex (GO:0071162)	11	6	.71	+	8.44	2.51E-05	5.69E-04
spectrin (GO:0008091)	6	3	.39	+	7.74	4.64E-03	4.90E-02
FACIT collagen trimer (GO:0005593)	6	3	.39	+	7.74	4.64E-03	4.87E-02
chromosome passenger complex (GO:0032133)	6	3	.39	+	7.74	4.64E-03	4.85E-02
endoplasmic reticulum chaperone complex (GO:0034663)	12	6	.78	+	7.74	4.74E-05	1.02E-03
early endosome lumen (GO:0031905)	2	1	.13	+	7.74	1.25E-01	5.58E-01
piccolo-bassoon transport vesicle (GO:1990257)	2	1	.13	+	7.74	1.25E-01	5.57E-01
macrophage migration inhibitory factor receptor complex (GO:0035692)	2	1	.13	+	7.74	1.25E-01	5.55E-01
climbing fiber (GO:0044301)	2	1	.13	+	7.74	1.25E-01	5.54E-01
HSP90-CDC37 chaperone complex (GO:1990565)	2	1	.13	+	7.74	1.25E-01	5.53E-01
prominosome (GO:0071914)	2	1	.13	+	7.74	1.25E-01	5.52E-01
DBIRD complex (GO:0044609)	2	1	.13	+	7.74	1.25E-01	5.50E-01
inhibin A complex (GO:0043512)	2	1	.13	+	7.74	1.25E-01	5.49E-01
inhibin complex (GO:0043511)	2	1	.13	+	7.74	1.25E-01	5.48E-01
Wnt-Frizzled-LRP5/6 complex (GO:1990851)	4	2	.26	+	7.74	2.29E-02	1.65E-01
extrinsic component of external side of plasma membrane (GO:0031232)	2	1	.13	+	7.74	1.25E-01	5.47E-01
SKA complex (GO:0170027)	2	1	.13	+	7.74	1.25E-01	5.46E-01
matrilin complex (GO:0120216)	4	2	.26	+	7.74	2.29E-02	1.64E-01
U4atac snRNP (GO:0005690)	2	1	.13	+	7.74	1.25E-01	5.44E-01
C-fiber (GO:0044299)	4	2	.26	+	7.74	2.29E-02	1.64E-01
Rad51C-XRCC3 complex (GO:0033065)	2	1	.13	+	7.74	1.25E-01	5.43E-01
chromaffin granule lumen (GO:0034466)	2	1	.13	+	7.74	1.25E-01	5.42E-01
condensin complex (GO:0000796)	8	4	.52	+	7.74	9.84E-04	1.48E-02
tumor necrosis factor receptor superfamily complex (GO:0002947)	2	1	.13	+	7.74	1.25E-01	5.41E-01
mitotic spindle assembly checkpoint MAD1-MAD2 complex (GO:1990728)	2	1	.13	+	7.74	1.25E-01	5.40E-01
nuclear aryl hydrocarbon receptor complex (GO:0034753)	2	1	.13	+	7.74	1.25E-01	5.39E-01
Kv4.2-KChIP2 channel complex (GO:0071193)	2	1	.13	+	7.74	1.25E-01	5.37E-01
WICH complex (GO:0090535)	2	1	.13	+	7.74	1.25E-01	5.36E-01
