




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor (GO:0016642)	1	1	.06	+	15.48	6.46E-02	9.15E-01
O-phospho-L-serine:2-oxoglutarate aminotransferase activity (GO:0004648)	1	1	.06	+	15.48	6.46E-02	9.13E-01
phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)	1	1	.06	+	15.48	6.46E-02	9.10E-01
cytoskeletal motor inhibitor activity (GO:0140661)	1	1	.06	+	15.48	6.46E-02	9.07E-01
cardiolipin synthase (CMP-forming) (GO:0043337)	1	1	.06	+	15.48	6.46E-02	9.05E-01
interleukin-27 receptor activity (GO:0045509)	1	1	.06	+	15.48	6.46E-02	9.03E-01
rRNA (pseudouridine) methyltransferase activity (GO:0070037)	1	1	.06	+	15.48	6.46E-02	9.00E-01
histone H3 ubiquitin ligase activity (GO:0141055)	1	1	.06	+	15.48	6.46E-02	8.98E-01
phenylacetaldehyde dehydrogenase (NAD+) activity (GO:0008957)	1	1	.06	+	15.48	6.46E-02	8.95E-01
orotidine-5'-phosphate decarboxylase activity (GO:0004590)	1	1	.06	+	15.48	6.46E-02	8.93E-01
orotate phosphoribosyltransferase activity (GO:0004588)	1	1	.06	+	15.48	6.46E-02	8.90E-01
latrotoxin receptor activity (GO:0016524)	1	1	.06	+	15.48	6.46E-02	8.88E-01
pituitary adenylate cyclase activating polypeptide activity (GO:0016521)	1	1	.06	+	15.48	6.46E-02	8.86E-01
tyrosine 3-monooxygenase activity (GO:0004511)	1	1	.06	+	15.48	6.46E-02	8.83E-01
ADP-sugar diphosphatase activity (GO:0019144)	1	1	.06	+	15.48	6.46E-02	8.81E-01
guanine deaminase activity (GO:0008892)	1	1	.06	+	15.48	6.46E-02	8.79E-01
glycine C-acetyltransferase activity (GO:0008890)	1	1	.06	+	15.48	6.46E-02	8.76E-01
mevalonate kinase activity (GO:0004496)	1	1	.06	+	15.48	6.46E-02	8.74E-01
methyl/ethyl malonyl-CoA decarboxylase activity (GO:0004492)	1	1	.06	+	15.48	6.46E-02	8.72E-01
G protein-coupled glycine receptor activity (GO:0160079)	1	1	.06	+	15.48	6.46E-02	8.69E-01
3-dehydrosphinganine reductase activity (GO:0047560)	1	1	.06	+	15.48	6.46E-02	8.67E-01
DNA-5-methylcytosine glycosylase activity (GO:1990053)	1	1	.06	+	15.48	6.46E-02	8.65E-01
iduronate-2-sulfatase activity (GO:0004423)	1	1	.06	+	15.48	6.46E-02	8.62E-01
adenine phosphoribosyltransferase activity (GO:0003999)	1	1	.06	+	15.48	6.46E-02	8.60E-01
L-iduronidase activity (GO:0003940)	1	1	.06	+	15.48	6.46E-02	8.58E-01
alkylbase DNA N-glycosylase activity (GO:0003905)	1	1	.06	+	15.48	6.46E-02	8.56E-01
cyclic pyranopterin monophosphate synthase activity (GO:0061799)	1	1	.06	+	15.48	6.46E-02	8.54E-01
GTP 3',8'-cyclase activity (GO:0061798)	1	1	.06	+	15.48	6.46E-02	8.51E-01
riboflavin reductase (NADPH) activity (GO:0042602)	1	1	.06	+	15.48	6.46E-02	8.49E-01
FMN reductase (NAD(P)H) activity (GO:0008752)	1	1	.06	+	15.48	6.46E-02	8.47E-01
glycine dehydrogenase (decarboxylating) activity (GO:0004375)	1	1	.06	+	15.48	6.46E-02	8.45E-01
DNA-3-methyladenine glycosylase activity (GO:0008725)	1	1	.06	+	15.48	6.46E-02	8.43E-01
N-acylneuraminate-9-phosphate synthase activity (GO:0047444)	1	1	.06	+	15.48	6.46E-02	8.41E-01
methionine synthase activity (GO:0008705)	1	1	.06	+	15.48	6.46E-02	8.38E-01
ferrochelatase activity (GO:0004325)	1	1	.06	+	15.48	6.46E-02	8.36E-01
phosphatidylserine transfer activity (GO:0140343)	2	2	.13	+	15.48	4.17E-03	1.65E-01
metal chelating activity (GO:0046911)	1	1	.06	+	15.48	6.46E-02	8.34E-01
NADP+ nucleosidase activity (GO:0050135)	1	1	.06	+	15.48	6.46E-02	8.32E-01
phosphatidyltransferase activity (GO:0030572)	1	1	.06	+	15.48	6.46E-02	8.30E-01
protein N-acetylglucosaminyltransferase activity (GO:0016262)	1	1	.06	+	15.48	6.46E-02	8.28E-01
dihydrofolic acid binding (GO:0051871)	1	1	.06	+	15.48	6.46E-02	8.26E-01
glycerophosphoinositol inositolphosphodiesterase activity (GO:0047394)	1	1	.06	+	15.48	6.46E-02	8.24E-01
phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands (GO:0090580)	1	1	.06	+	15.48	6.46E-02	8.22E-01
adenine binding (GO:0002055)	1	1	.06	+	15.48	6.46E-02	8.20E-01
[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity (GO:0047323)	1	1	.06	+	15.48	6.46E-02	8.18E-01
