




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER Pathways	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Anandamide degradation (P05728)	1	1	.06	+	15.48	6.46E-02	2.67E-01
Methionine biosynthesis (P02753)	2	2	.13	+	15.48	4.17E-03	5.17E-02
Pyridoxal-5-phosphate biosynthesis (P02759)	3	2	.19	+	10.32	1.20E-02	9.18E-02
Vitamin B6 metabolism (P02787)	4	2	.26	+	7.74	2.29E-02	1.37E-01
Triacylglycerol metabolism (P02782)	2	1	.13	+	7.74	1.25E-01	4.11E-01
Pyridoxal phosphate salvage pathway (P02770)	2	1	.13	+	7.74	1.25E-01	4.03E-01
Tetrahydrofolate biosynthesis (P02742)	4	2	.26	+	7.74	2.29E-02	1.32E-01
Alanine biosynthesis (P02724)	2	1	.13	+	7.74	1.25E-01	3.95E-01
Formyltetrahydrofolate biosynthesis (P02743)	7	3	.45	+	6.63	7.74E-03	7.79E-02
Valine biosynthesis (P02785)	3	1	.19	+	5.16	1.82E-01	5.13E-01
Serine glycine biosynthesis (P02776)	6	2	.39	+	5.16	5.26E-02	2.35E-01
S-adenosylmethionine biosynthesis (P02773)	3	1	.19	+	5.16	1.82E-01	5.04E-01
Leucine biosynthesis (P02749)	3	1	.19	+	5.16	1.82E-01	4.96E-01
5-Hydroxytryptamine biosynthesis (P04371)	3	1	.19	+	5.16	1.82E-01	4.87E-01
5HT3 type receptor mediated signaling pathway (P04375)	16	5	1.03	+	4.84	2.68E-03	4.79E-02
De novo pyrimidine deoxyribonucleotide biosynthesis (P02739)	14	4	.90	+	4.42	1.03E-02	9.21E-02
Synaptic vesicle trafficking (P05734)	29	8	1.87	+	4.27	3.76E-04	3.03E-02
Alpha adrenergic receptor signaling pathway (P00002)	23	6	1.49	+	4.04	2.80E-03	4.51E-02
Axon guidance mediated by Slit/Robo (P00008)	24	6	1.55	+	3.87	3.53E-03	5.17E-02
Xanthine and guanine salvage pathway (P02788)	4	1	.26	+	3.87	2.34E-01	5.17E-01
Salvage pyrimidine deoxyribonucleotides (P02774)	4	1	.26	+	3.87	2.34E-01	5.10E-01
Proline biosynthesis (P02768)	4	1	.26	+	3.87	2.34E-01	5.03E-01
Isoleucine biosynthesis (P02748)	4	1	.26	+	3.87	2.34E-01	4.97E-01
Succinate to proprionate conversion (P02777)	5	1	.32	+	3.10	2.84E-01	5.79E-01
Ornithine degradation (P02758)	5	1	.32	+	3.10	2.84E-01	5.71E-01
Muscarinic acetylcholine receptor 1 and 3 signaling pathway (P00042)	60	11	3.88	+	2.84	1.44E-03	4.63E-02
Alzheimer disease-amyloid secretase pathway (P00003)	66	12	4.26	+	2.81	9.60E-04	3.86E-02
FAS signaling pathway (P00020)	33	6	2.13	+	2.81	1.77E-02	1.19E-01
Axon guidance mediated by semaphorins (P00007)	22	4	1.42	+	2.81	5.00E-02	2.37E-01
Nicotine pharmacodynamics pathway (P06587)	34	6	2.20	+	2.73	2.04E-02	1.31E-01
Mannose metabolism (P02752)	6	1	.39	+	2.58	3.30E-01	6.41E-01
mRNA splicing (P00058)	6	1	.39	+	2.58	3.30E-01	6.33E-01
Arginine biosynthesis (P02728)	6	1	.39	+	2.58	3.30E-01	6.26E-01
Ionotropic glutamate receptor pathway (P00037)	48	8	3.10	+	2.58	1.11E-02	8.96E-02
Cell cycle (P00013)	24	4	1.55	+	2.58	6.56E-02	2.58E-01
Opioid proenkephalin pathway (P05915)	36	6	2.33	+	2.58	2.65E-02	1.47E-01
Muscarinic acetylcholine receptor 2 and 4 signaling pathway (P00043)	60	10	3.88	+	2.58	4.79E-03	5.14E-02
Dopamine receptor mediated signaling pathway (P05912)	56	9	3.62	+	2.49	9.25E-03	8.76E-02
Endogenous cannabinoid signaling (P05730)	25	4	1.62	+	2.48	7.43E-02	2.72E-01
Salvage pyrimidine ribonucleotides (P02775)	13	2	.84	+	2.38	2.04E-01	5.20E-01
Heme biosynthesis (P02746)	13	2	.84	+	2.38	2.04E-01	5.12E-01
Fructose galactose metabolism (P02744)	13	2	.84	+	2.38	2.04E-01	5.04E-01
De novo pyrimidine ribonucleotides biosythesis (P02740)	13	2	.84	+	2.38	2.04E-01	4.96E-01
Vasopressin synthesis (P04395)	13	2	.84	+	2.38	2.04E-01	4.89E-01
Oxytocin receptor mediated signaling pathway (P04391)	59	9	3.81	+	2.36	1.29E-02	9.45E-02
5HT2 type receptor mediated signaling pathway (P04374)	67	10	4.33	+	2.31	1.05E-02	8.89E-02
Oxidative stress response (P00046)	54	8	3.49	+	2.29	2.19E-02	1.35E-01
5HT4 type receptor mediated signaling pathway (P04376)	34	5	2.20	+	2.28	6.55E-02	2.64E-01
Thyrotropin-releasing hormone receptor signaling pathway (P04394)	62	9	4.01	+	2.25	1.76E-02	1.23E-01
Purine metabolism (P02769)	7	1	.45	+	2.21	3.74E-01	6.91E-01
N-acetylglucosamine metabolism (P02756)	7	1	.45	+	2.21	3.74E-01	6.83E-01
Adenine and hypoxanthine salvage pathway (P02723)	7	1	.45	+	2.21	3.74E-01	6.76E-01
Axon guidance mediated by netrin (P00009)	35	5	2.26	+	2.21	7.25E-02	2.72E-01
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway (P00027)	120	17	7.75	+	2.19	2.15E-03	4.94E-02
CCKR signaling map (P06959)	164	23	10.60	+	2.17	5.77E-04	3.09E-02
Notch signaling pathway (P00045)	43	6	2.78	+	2.16	5.67E-02	2.40E-01
