




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER Pathways	Mus musculus - REFLIST (21836)	upload_1 (3078)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Vasopressin synthesis (P04395)	13	8	1.83	+	4.37	1.02E-04	2.35E-03
Triacylglycerol metabolism (P02782)	2	1	.28	+	3.55	2.62E-01	6.70E-01
Aminobutyrate degradation (P02726)	2	1	.28	+	3.55	2.62E-01	6.59E-01
Alanine biosynthesis (P02724)	2	1	.28	+	3.55	2.62E-01	6.49E-01
Salvage pyrimidine ribonucleotides (P02775)	13	6	1.83	+	3.27	5.50E-03	6.81E-02
JAK/STAT signaling pathway (P00038)	17	7	2.40	+	2.92	5.83E-03	6.71E-02
Succinate to proprionate conversion (P02777)	5	2	.70	+	2.84	1.48E-01	4.98E-01
Circadian clock system (P00015)	10	4	1.41	+	2.84	4.08E-02	2.12E-01
Pyrimidine Metabolism (P02771)	11	4	1.55	+	2.58	5.72E-02	2.71E-01
Synaptic vesicle trafficking (P05734)	29	10	4.09	+	2.45	4.72E-03	6.90E-02
Pentose phosphate pathway (P02762)	9	3	1.27	+	2.36	1.22E-01	4.57E-01
Valine biosynthesis (P02785)	3	1	.42	+	2.36	3.66E-01	7.76E-01
S-adenosylmethionine biosynthesis (P02773)	3	1	.42	+	2.36	3.66E-01	7.65E-01
Pyridoxal-5-phosphate biosynthesis (P02759)	3	1	.42	+	2.36	3.66E-01	7.56E-01
Leucine biosynthesis (P02749)	3	1	.42	+	2.36	3.66E-01	7.46E-01
Metabotropic glutamate receptor group I pathway (P00041)	24	8	3.38	+	2.36	1.39E-02	1.12E-01
Gamma-aminobutyric acid synthesis (P04384)	6	2	.85	+	2.36	2.02E-01	6.15E-01
Ascorbate degradation (P02729)	3	1	.42	+	2.36	3.66E-01	7.37E-01
General transcription regulation (P00023)	37	12	5.22	+	2.30	3.63E-03	5.84E-02
Axon guidance mediated by semaphorins (P00007)	22	7	3.10	+	2.26	2.71E-02	1.62E-01
Notch signaling pathway (P00045)	43	13	6.06	+	2.14	6.41E-03	6.88E-02
Interferon-gamma signaling pathway (P00035)	30	9	4.23	+	2.13	2.95E-02	1.64E-01
Alzheimer disease-amyloid secretase pathway (P00003)	66	19	9.30	+	2.04	1.97E-03	3.53E-02
N-acetylglucosamine metabolism (P02756)	7	2	.99	+	2.03	2.58E-01	6.82E-01
P53 pathway feedback loops 1 (P04392)	7	2	.99	+	2.03	2.58E-01	6.71E-01
Alzheimer disease-presenilin pathway (P00004)	125	35	17.62	+	1.99	4.57E-05	1.47E-03
CCKR signaling map (P06959)	164	44	23.12	+	1.90	2.18E-05	8.79E-04
Histamine H1 receptor mediated signaling pathway (P04385)	45	12	6.34	+	1.89	2.82E-02	1.62E-01
VEGF signaling pathway (P00056)	68	18	9.59	+	1.88	7.56E-03	7.61E-02
Integrin signalling pathway (P00034)	189	50	26.64	+	1.88	7.34E-06	5.91E-04
Cadherin signaling pathway (P00012)	159	42	22.41	+	1.87	4.61E-05	1.24E-03
Angiotensin II-stimulated signaling through G proteins and beta-arrestin (P05911)	38	10	5.36	+	1.87	5.64E-02	2.75E-01
Transcription regulation by bZIP transcription factor (P00055)	57	15	8.03	+	1.87	1.26E-02	1.13E-01
5HT2 type receptor mediated signaling pathway (P04374)	67	17	9.44	+	1.80	1.28E-02	1.09E-01
Hedgehog signaling pathway (P00025)	20	5	2.82	+	1.77	1.88E-01	5.83E-01
Salvage pyrimidine deoxyribonucleotides (P02774)	4	1	.56	+	1.77	4.55E-01	8.43E-01
Isoleucine biosynthesis (P02748)	4	1	.56	+	1.77	4.55E-01	8.33E-01
Coenzyme A biosynthesis (P02736)	8	2	1.13	+	1.77	3.14E-01	7.33E-01
5-Hydroxytryptamine degredation (P04372)	24	6	3.38	+	1.77	1.37E-01	5.02E-01
Cell cycle (P00013)	24	6	3.38	+	1.77	1.37E-01	4.91E-01
Oxytocin receptor mediated signaling pathway (P04391)	59	14	8.32	+	1.68	3.95E-02	2.12E-01
Insulin/IGF pathway-protein kinase B signaling cascade (P00033)	38	9	5.36	+	1.68	1.00E-01	3.84E-01
Ras Pathway (P04393)	72	17	10.15	+	1.68	2.66E-02	1.65E-01
Endothelin signaling pathway (P00019)	85	20	11.98	+	1.67	1.81E-02	1.22E-01
Interleukin signaling pathway (P00036)	94	22	13.25	+	1.66	1.62E-02	1.24E-01
Muscarinic acetylcholine receptor 1 and 3 signaling pathway (P00042)	60	14	8.46	+	1.66	5.97E-02	2.75E-01
Wnt signaling pathway (P00057)	307	71	43.27	+	1.64	2.11E-05	1.13E-03
Heme biosynthesis (P02746)	13	3	1.83	+	1.64	4.13E-01	7.91E-01
Ionotropic glutamate receptor pathway (P00037)	48	11	6.77	+	1.63	9.35E-02	3.77E-01
Enkephalin release (P05913)	35	8	4.93	+	1.62	1.43E-01	4.90E-01
p53 pathway by glucose deprivation (P04397)	22	5	3.10	+	1.61	2.25E-01	6.23E-01
PI3 kinase pathway (P00048)	53	12	7.47	+	1.61	7.68E-02	3.26E-01
Thyrotropin-releasing hormone receptor signaling pathway (P04394)	62	14	8.74	+	1.60	6.57E-02	2.94E-01
EGF receptor signaling pathway (P00018)	133	30	18.75	+	1.60	8.14E-03	7.71E-02
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade (P00032)	36	8	5.07	+	1.58	1.54E-01	5.06E-01
FGF signaling pathway (P00021)	122	27	17.20	+	1.57	1.78E-02	1.25E-01
