




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (107)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
DNA recombinase auxiliary factor complex (GO:0120231)	1	1	.00	+	 > 100	4.90E-03	3.15E-01
mitochondrial inner-outer membrane contact site (GO:0044289)	1	1	.00	+	 > 100	4.90E-03	3.05E-01
DNA ligase III-XRCC1 complex (GO:0070421)	1	1	.00	+	 > 100	4.90E-03	2.96E-01
presynaptic endosome membrane (GO:0098954)	1	1	.00	+	 > 100	4.90E-03	2.87E-01
serotonin-activated cation-selective channel complex (GO:1904602)	2	1	.01	+	 > 100	9.78E-03	4.87E-01
alpha9-beta1 integrin-ADAM8 complex (GO:0071133)	2	1	.01	+	 > 100	9.78E-03	4.75E-01
serotonin receptor complex (GO:0098665)	2	1	.01	+	 > 100	9.78E-03	4.64E-01
P-TEFb complex (GO:0070691)	2	1	.01	+	 > 100	9.78E-03	4.53E-01
host cell (GO:0043657)	2	1	.01	+	 > 100	9.78E-03	4.43E-01
C/EBP complex (GO:1990647)	2	1	.01	+	 > 100	9.78E-03	4.33E-01
CHOP-C/EBP complex (GO:0036488)	3	1	.01	+	68.02	1.46E-02	5.40E-01
protein kinase CK2 complex (GO:0005956)	3	1	.01	+	68.02	1.46E-02	5.30E-01
terminal cisterna (GO:0014802)	3	1	.01	+	68.02	1.46E-02	5.21E-01
integrin alphav-beta3 complex (GO:0034683)	3	1	.01	+	68.02	1.46E-02	5.12E-01
peripheral region of growth cone (GO:0090725)	3	1	.01	+	68.02	1.46E-02	5.03E-01
perinucleolar compartment (GO:0097356)	5	1	.02	+	40.81	2.43E-02	6.72E-01
Rb-E2F complex (GO:0035189)	5	1	.02	+	40.81	2.43E-02	6.63E-01
phagolysosome (GO:0032010)	6	1	.03	+	34.01	2.90E-02	7.62E-01
HFE-transferrin receptor complex (GO:1990712)	6	1	.03	+	34.01	2.90E-02	7.52E-01
fibrinogen complex (GO:0005577)	6	1	.03	+	34.01	2.90E-02	7.43E-01
tertiary granule (GO:0070820)	7	1	.03	+	29.15	3.38E-02	8.22E-01
U2AF complex (GO:0089701)	7	1	.03	+	29.15	3.38E-02	8.12E-01
rough endoplasmic reticulum lumen (GO:0048237)	7	1	.03	+	29.15	3.38E-02	8.02E-01
signal recognition particle (GO:0048500)	7	1	.03	+	29.15	3.38E-02	7.93E-01
postsynaptic recycling endosome membrane (GO:0098944)	7	1	.03	+	29.15	3.38E-02	7.84E-01
clathrin-sculpted glutamate transport vesicle membrane (GO:0060203)	7	1	.03	+	29.15	3.38E-02	7.75E-01
signal recognition particle, endoplasmic reticulum targeting (GO:0005786)	7	1	.03	+	29.15	3.38E-02	7.66E-01
clathrin-sculpted glutamate transport vesicle (GO:0060199)	7	1	.03	+	29.15	3.38E-02	7.57E-01
central region of growth cone (GO:0090724)	7	1	.03	+	29.15	3.38E-02	7.49E-01
hippocampal mossy fiber (GO:0097457)	7	1	.03	+	29.15	3.38E-02	7.41E-01
presynaptic endosome (GO:0098830)	9	1	.04	+	22.67	4.33E-02	8.54E-01
vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)	9	1	.04	+	22.67	4.33E-02	8.46E-01
cAMP-dependent protein kinase complex (GO:0005952)	9	1	.04	+	22.67	4.33E-02	8.37E-01
host cellular component (GO:0018995)	9	1	.04	+	22.67	4.33E-02	8.29E-01
chromaffin granule membrane (GO:0042584)	9	1	.04	+	22.67	4.33E-02	8.21E-01
NLS-dependent protein nuclear import complex (GO:0042564)	9	1	.04	+	22.67	4.33E-02	8.14E-01
clathrin-sculpted vesicle (GO:0060198)	9	1	.04	+	22.67	4.33E-02	8.06E-01
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	10	1	.05	+	20.41	4.79E-02	8.69E-01
blood microparticle (GO:0072562)	10	1	.05	+	20.41	4.79E-02	8.61E-01
dense core granule membrane (GO:0032127)	10	1	.05	+	20.41	4.79E-02	8.54E-01
proton-transporting V-type ATPase, V0 domain (GO:0033179)	11	1	.05	+	18.55	5.26E-02	8.97E-01
microvesicle (GO:1990742)	11	1	.05	+	18.55	5.26E-02	8.89E-01
nucleocytoplasmic transport complex (GO:0031074)	11	1	.05	+	18.55	5.26E-02	8.82E-01
postsynaptic endosome membrane (GO:0098895)	12	1	.06	+	17.01	5.73E-02	9.44E-01
COPI vesicle coat (GO:0030126)	12	1	.06	+	17.01	5.73E-02	9.36E-01
dendritic growth cone (GO:0044294)	12	1	.06	+	17.01	5.73E-02	9.28E-01
Swr1 complex (GO:0000812)	13	1	.06	+	15.70	6.19E-02	9.87E-01
SCAR complex (GO:0031209)	13	1	.06	+	15.70	6.19E-02	9.79E-01
WASH complex (GO:0071203)	13	1	.06	+	15.70	6.19E-02	9.72E-01
enzyme activator complex (GO:0150005)	13	1	.06	+	15.70	6.19E-02	9.64E-01
postsynaptic recycling endosome (GO:0098837)	14	1	.07	+	14.58	6.65E-02	1.00E00
nuclear envelope lumen (GO:0005641)	14	1	.07	+	14.58	6.65E-02	1.00E00
transcription preinitiation complex (GO:0097550)	14	1	.07	+	14.58	6.65E-02	1.00E00
specific granule (GO:0042581)	14	1	.07	+	14.58	6.65E-02	1.00E00
pseudopodium (GO:0031143)	15	1	.07	+	13.60	7.11E-02	1.00E00
chromaffin granule (GO:0042583)	15	1	.07	+	13.60	7.11E-02	1.00E00
